中,英文,日文,域,域-latin,界,界-latin,門,門-latin,亞門,亞門-latin,綱,綱-latin,亞綱,亞綱-latin,目,目-latin,科,科-latin,亞科,亞科-latin,屬,屬-latin,種,種-latin
藤椒,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,薔薇亞綱,rosids,無患子目,Sapindales,芸香科,Rutaceae,脂檀亞科,Amyridoideae,花椒屬,Zanthoxylum,竹葉花椒,Zanthoxylum armatum
花椒,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,薔薇亞綱,rosids,無患子目,Sapindales,芸香科,Rutaceae,脂檀亞科,Amyridoideae,花椒屬,Zanthoxylum,,
檸檬,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,薔薇亞綱,rosids,無患子目,Sapindales,芸香科,Rutaceae,柑橘亞科,Aurantioideae,柑橘屬,Citrus,檸檬,Citrus limon
橘子,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,薔薇亞綱,rosids,無患子目,Sapindales,芸香科,Rutaceae,柑橘亞科,Aurantioideae,柑橘屬,Citrus,,
橙子,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,薔薇亞綱,rosids,無患子目,Sapindales,芸香科,Rutaceae,柑橘亞科,Aurantioideae,柑橘屬,Citrus,,
柚子,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,薔薇亞綱,rosids,無患子目,Sapindales,芸香科,Rutaceae,柑橘亞科,Aurantioideae,柑橘屬,Citrus,,
金橘,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,薔薇亞綱,rosids,無患子目,Sapindales,芸香科,Rutaceae,柑橘亞科,Aurantioideae,金橘屬,Fortunella,金柑,Fortunella japonica
龍眼,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,薔薇亞綱,rosids,無患子目,Sapindales,無患子科,Sapindaceae,,,龍眼屬,Dimocarpus,龍眼,Dimocarpus longan
荔枝,litchi,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,薔薇亞綱,rosids,無患子目,Sapindales,無患子科,Sapindaceae,,,荔枝屬,Litchi,荔枝,Litchi chinensis
紅毛丹,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,薔薇亞綱,rosids,無患子目,Sapindales,無患子科,Sapindaceae,,,韶子屬,Nephelium,紅毛丹,Nephelium lappaceum
葡萄/提子,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,薔薇亞綱,rosids,葡萄目,Vitales,葡萄科,Vitaceae,,,葡萄屬,Vitis,,
大料,star anise,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,,,木蘭藤目,Austrobaileyales,五味子科,Schisandraceae,,,八角屬,Illicium,八角,Illicium verum
芡（芡實/雞頭米）,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,,,睡蓮目,Nymphaeales,睡蓮科,Nymphaeaceae,,,芡屬,Euryale,芡,Euryale ferox
冰草,iceplant,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,,,石竹目,Caryophyllales,番杏科,Aizoaceae,,,日中花屬,Mesembryanthemum,冰葉日中花,Mesembryanthemum crystallinum
莧菜,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,,,石竹目,Caryophyllales,莧科,Amaranthaceae,,,莧屬,Amaranthus,莧,Amaranthus tricolor
菠菜,spinach,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,,,石竹目,Caryophyllales,莧科,Amaranthaceae,,,菠菜屬,Spinacia,菠菜,Spinacia oleracea
落葵/木耳菜,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,,,石竹目,Caryophyllales,落葵科,Basellaceae,,,落葵屬,Basella,落葵,Basella alba
量天尺（紅皮白肉火龍果）,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,,,石竹目,Caryophyllales,仙人掌科,Cactaceae,柱狀仙人掌亞科,Cactoideae,量天尺屬,Hylocereus,量天尺,Hylocereus undatus
甜菜,beet,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,,,石竹目,Caryophyllales,藜科,Chenopodiaceae,甜菜亞科,Betoideae,甜菜屬,Beta,甜菜,Beta vulgaris
藜麥,quinoa,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,,,石竹目,Caryophyllales,藜科,Chenopodiaceae,藜亞科,Chenopodioideae,藜屬,Chenopodium,藜麥,Chenopodium quinoa
蕎麥,buckwheat,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,,,石竹目,Caryophyllales,蓼科,Polygonaceae,蓼亞科,Polygonoideae,蕎麥屬,Fagopyrum,蕎麥,Fagopyrum esculentum
苦蕎,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,,,石竹目,Caryophyllales,蓼科,Polygonaceae,蓼亞科,Polygonoideae,蕎麥屬,Fagopyrum,苦蕎,Fagopyrum tataricum
辣蓼/水蓼,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,,,石竹目,Caryophyllales,蓼科,Polygonaceae,蓼亞科,Polygonoideae,春蓼屬,Persicaria,水蓼,Persicaria hydropiper
蓮,lotus,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,,,山龍眼目,Proteales,蓮科,Nelumbonaceae,,,蓮屬,Nelumbo,蓮,Nelumbo nucifera
夏威夷果/澳洲堅果,macadamia,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,,,山龍眼目,Proteales,山龍眼科,Proteaceae,,,澳洲堅果屬,Macadamia,,
牡丹,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,,,虎耳草目,Saxifragales,芍藥科,Paeoniaceae,,,芍藥屬,Paeonia,,
滸苔/苔條/苔菜,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,綠藻門,Chlorophyta,,,石蒓綱,Ulvophyceae,,,石蒓目,Ulvales,石蒓科,Ulvaceae,,,石蒓屬,Ulva,,
紫菜/海苔,,,眞核域,Eukaryota,,,紅藻門,Rhodophyta,,,紅毛菜綱,Bangiophyceae,,,紅毛菜目,Bangiales,紅毛菜科,Bangiaceae,,,,,,
石花菜,,,眞核域,Eukaryota,,,紅藻門,Rhodophyta,,,眞紅藻綱,Florideophyceae,眞紅藻亞綱,Rhodymeniophycidae,石花菜目,Gelidiales,石花菜科,Gelidiaceae,,,石花菜屬,Gelidium,,
香椿,,,,,,,,,,,,,,,,,,,,,,,,
槐花,,,,,,,,,,,,,,,,,,,,,,,,
榆錢,,,,,,,,,,,,,,,,,,,,,,,,
高粱,,,,,,,,,,,,,,,,,,,,,,,,
櫻桃,cherry,,,,,,,,,,,,,,,,,,,,,,,
螺旋藻,,,,,,,,,,,,,,,,,,,,,,,,
黑松露,,盒馬,,,,,,,,,,,,,,,,,,,,,,
甜蘆粟,,,,,,,,,,,,,,,,,,,,,,,,
鼠尾草,sage,,,,,,,,,,,,,,,,,,,,,,,
艾草,,,,,,,,,,,,,,,,,,,,,,,,
泥螺,,,,,,,,,,,,,,,,,,,,,,,,
藏紅花,,,,,,,,,,,,,,,,,,,,,,,,
白香魚,*,,,,,,,,,,,,,,,,,,,,,,,
甜鰕,*,,,,,,,,,,,,,,,,,,,,,,,
牡丹鰕,*,,,,,,,,,,,,,,,,,,,,,,,
大馬哈魚,,,,,,,,,,,,,,,,,,,,,,,,
昂刺魚/黃辣丁,,,,,,,,,,,,,,,,,,,,,,,,
鰤魚,*,,,,,,,,,,,,,,,,,,,,,,,
赤貝,*,,,,,,,,,,,,,,,,,,,,,,,
鯔魚,,,,,,,,,,,,,,,,,,,,,,,,
人蔘,,,,,,,,,,,,,,,,,,,,,,,,
白朮,*,,,,,,,,,,,,,,,,,,,,,,,
瑪咖,,,,,,,,,,,,,,,,,,,,,,,,
馬鞭草,,pho real（富民路）,,,,,,,,,,,,,,,,,,,,,,
石斛,,,,,,,,,,,,,,,,,,,,,,,,
筍殼魚,,,,,,,,,,,,,,,,,,,,,,,,
澳洲龍鰕,,,,,,,,,,,,,,,,,,,,,,,,
多寶魚,,,,,,,,,,,,,,,,,,,,,,,,
龍躉魚/鞍帶石斑魚,,,,,,,,,,,,,,,,,,,,,,,,
羊肚菌,,,,,,,,,,,,,,,,,,,,,,,,
北杏仁,,,,,,,,,,,,,,,,,,,,,,,,
波士頓龍鰕,,,,,,,,,,,,,,,,,,,,,,,,
蘘荷,,,,,,,,,,,,,,,,,,,,,,,,
大黃魚,,,,,,,,,,,,,,,,,,,,,,,,
紅鼓魚,,,,,,,,,,,,,,,,,,,,,,,,
涼薯/沙葛,,,,,,,,,,,,,,,,,,,,,,,,
牛嬭果,,,,,,,,,,,,,,,,,,,,,,,,
澳洲肺魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,,,肺魚亞綱,Dipnoi,角齒魚目,Ceratodontiformes,澳洲肺魚科,Neoceratodontidae,,,澳洲肺魚屬,Neoceratodus,昆士蘭肺魚,Neoceratodus forsteri
香芋,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,薯蕷目,Dioscoreales,薯蕷科,Dioscoreaceae,,,薯蕷屬,Dioscorea,蔘薯,Dioscorea alata
油魚/龍鱈魚/異鱗蛇鯖,"escolar, white tuna",,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,鯖形目,Scombriformes,蛇鯖科,Gempylidae,,,異鱗蛇鯖屬,Lepidocybium,異鱗蛇鯖,Lepidocybium flavobrunneum
